23:45:03 Step  244 | loss=-0.4579 | avg_loss=-0.2881 | tokens=3010 | queue=0
23:50:12 Step  245 | loss=-0.3573 | avg_loss=-0.2884 | tokens=2426 | queue=0
23:55:25 Step  246 | loss=-0.4235 | avg_loss=-0.2889 | tokens=2410 | queue=0
00:00:38 Step  247 | loss=-0.4307 | avg_loss=-0.2895 | tokens=3025 | queue=0
00:05:47 Step  248 | loss=0.8117 | avg_loss=-0.2851 | tokens=1526 | queue=0
00:10:57 Step  249 | loss=-0.3871 | avg_loss=-0.2855 | tokens=2444 | queue=0
00:16:06 Step  250 | loss=-0.4358 | avg_loss=-0.2861 | tokens=2418 | queue=0
00:21:19 Step  251 | loss=-0.4110 | avg_loss=-0.2866 | tokens=3030 | queue=0
00:26:31 Step  252 | loss=-0.3275 | avg_loss=-0.2867 | tokens=2406 | queue=0
00:31:40 Step  253 | loss=-0.5030 | avg_loss=-0.2876 | tokens=2506 | queue=0
00:36:50 Step  254 | loss=-0.3059 | avg_loss=-0.2877 | tokens=2408 | queue=0
00:41:59 Step  255 | loss=-0.3429 | avg_loss=-0.2879 | tokens=2408 | queue=0
00:47:12 Step  256 | loss=-0.4628 | avg_loss=-0.2886 | tokens=2435 | queue=0
00:52:24 Step  257 | loss=-0.3221 | avg_loss=-0.2887 | tokens=3012 | queue=0
00:57:37 Step  258 | loss=-0.5648 | avg_loss=-0.2898 | tokens=2436 | queue=0
01:02:49 Step  259 | loss=-0.3803 | avg_loss=-0.2901 | tokens=2810 | queue=0
01:08:01 Step  260 | loss=-0.4296 | avg_loss=-0.2906 | tokens=2413 | queue=0
01:13:08 Step  261 | loss=-0.3490 | avg_loss=-0.2909 | tokens=2415 | queue=0
01:18:17 Step  262 | loss=-0.5682 | avg_loss=-0.2919 | tokens=2745 | queue=0
01:23:27 Step  263 | loss=-0.5425 | avg_loss=-0.2929 | tokens=1852 | queue=0
01:28:38 Step  264 | loss=-0.7799 | avg_loss=-0.2947 | tokens=2187 | queue=1
01:33:46 Step  265 | loss=-0.3523 | avg_loss=-0.2949 | tokens=2407 | queue=1
01:38:55 Step  266 | loss=-0.3653 | avg_loss=-0.2952 | tokens=2411 | queue=0
01:44:03 Step  267 | loss=-0.2851 | avg_loss=-0.2952 | tokens=2408 | queue=1
01:49:16 Step  268 | loss=-0.4058 | avg_loss=-0.2956 | tokens=2420 | queue=1
01:54:27 Step  269 | loss=-0.3133 | avg_loss=-0.2956 | tokens=3022 | queue=0
01:59:38 Step  270 | loss=-0.4766 | avg_loss=-0.2963 | tokens=2408 | queue=0
02:04:47 Step  271 | loss=-0.3959 | avg_loss=-0.2967 | tokens=2427 | queue=0
02:09:55 Step  272 | loss=-0.8686 | avg_loss=-0.2988 | tokens=1905 | queue=0
02:15:05 Step  273 | loss=-0.4492 | avg_loss=-0.2993 | tokens=2438 | queue=0
02:20:16 Step  274 | loss=-0.5666 | avg_loss=-0.3003 | tokens=2151 | queue=1
02:25:26 Step  275 | loss=-0.3696 | avg_loss=-0.3006 | tokens=3041 | queue=0
02:30:35 Step  276 | loss=-0.5937 | avg_loss=-0.3016 | tokens=2398 | queue=0
02:35:47 Step  277 | loss=-1.0787 | avg_loss=-0.3044 | tokens=1960 | queue=0
02:41:00 Step  278 | loss=-0.4178 | avg_loss=-0.3048 | tokens=2529 | queue=0
02:46:11 Step  279 | loss=-1.1315 | avg_loss=-0.3078 | tokens=1869 | queue=0
02:51:26 Step  280 | loss=-0.3307 | avg_loss=-0.3079 | tokens=3223 | queue=0
02:56:34 Step  281 | loss=-0.4420 | avg_loss=-0.3084 | tokens=2369 | queue=0
03:01:45 Step  282 | loss=-0.6978 | avg_loss=-0.3097 | tokens=2437 | queue=0
03:06:52 Step  283 | loss=-0.5435 | avg_loss=-0.3106 | tokens=2071 | queue=0
03:12:03 Step  284 | loss=-0.4381 | avg_loss=-0.3110 | tokens=2268 | queue=0
03:17:15 Step  285 | loss=-0.9201 | avg_loss=-0.3132 | tokens=1852 | queue=0
03:22:28 Step  286 | loss=-0.5011 | avg_loss=-0.3138 | tokens=2474 | queue=0
03:27:37 Step  287 | loss=-0.3999 | avg_loss=-0.3141 | tokens=2407 | queue=0
03:32:50 Step  288 | loss=-0.5413 | avg_loss=-0.3149 | tokens=3083 | queue=0
03:38:01 Step  289 | loss=-0.4179 | avg_loss=-0.3153 | tokens=3010 | queue=0
